SpeakerName,SpeakerTitle
Alex Cho,"President, Personal Systems, HP Inc."
Andrew Bolwell,"Chief Disrupter, Global Head of Tech Ventures, HP Inc."
George Brasher,"Senior Vice President & Chief Operating Officer, HP Print, HP Inc."
Nobuki Okado,"Managing Director, HP Japan Inc."
Vinay Awasthi,"Managing Director, Greater Asia, HP Inc."
Stacy Wolff,"Global Head of Design & Sustainability, Personal Systems, HP Inc."
Dave Shull,"President, Workforce Solutions, HP Inc."
Dave McQuarrie,"Chief Commercial Officer, HP Inc."
Lynn Loh,"Global Head, ESG Reporting, HP Inc."
Josephine Tan,"SVP & Division President of Consumer Personal Systems & Gaming, HP Inc."
Gary Hang,"Head of Channels, Greater Asia, HP Inc."
Kobi Elbaz,"SVP & General Manager, Global Channel Organization, HP Inc."
Pierre-Jean Châlon,"Vice President, Greater Asia, HP Poly Hybrid Work Solutions, HP Inc."
Sunil Rao,"Head of Channels, Greater Asia, Hybrid Systems & Peripherals, HP Inc."
Xavier Garcia,"SVP & Division President of Office Print Solutions, HP Inc."
Sue Richards,"Senior VP, Home Print Hardware & Quality, HP Inc."
Anurag Gupta,"Director, Greater Asia, Business Personal Systems Category, HP Inc."
Ketan Patel,"General Manager & Global Head of Personal Systems Category, HP Inc."
Samir Sayed,"Managing Director, ASEAN, Korea & Emerging Markets, Hybrid Work Solutions, HP Inc."
